wy,month,vol_acft
1990,1,2249.25498
1990,2,1685.9495
1990,3,1999.3377600000001
1990,4,2183.80047
1990,5,2760.99024
1990,6,2469.42015
1990,7,3542.47742
1990,8,3947.1053
1990,9,3776.5268800000003
1990,10,2554.7093600000003
1990,11,2330.5772500000003
1990,12,2279.00703
1991,1,1685.9495
1991,2,1818.8419900000001
1991,3,2114.37902
1991,4,2112.39555
1991,5,3237.02304
1991,6,4087.93167
1991,7,2832.39516
1991,8,2737.1886
1991,9,2715.37043
1991,10,3762.64259
1991,11,1999.33776
1991,12,1816.85852
1992,1,1918.01549
1992,2,1969.58571
1992,3,2009.25511
1992,4,2183.80047
1992,5,2481.32097
1992,6,2078.67656
1992,7,2340.4946
1992,8,2409.9160500000003
1992,9,2148.09801
1992,10,2066.77574
1992,11,2019.17246
1992,12,1846.61057
1993,1,1447.9331
1993,2,1503.47026
1993,3,1977.51959
1993,4,2031.07328
1993,5,9955.03593
1993,6,6965.94664
1993,7,3990.74164
1993,8,3318.34531
1993,9,2931.56866
1993,10,1812.89158
1993,11,1775.20565
1993,12,1709.75114
1994,1,2261.1558
1994,2,1959.6683600000001
1994,3,2110.41208
1994,4,2639.99857
1994,5,3201.32058
1994,6,2741.15554
1994,7,2741.15554
1994,8,2661.81674
1994,9,2538.8416
1994,10,2350.41195
1994,11,2187.76741
1994,12,2261.1558
1995,10,275.70233
2006,1,2065.387311
2006,2,1709.75114
2006,3,2013.8170910000001
2006,4,2716.560512
2006,5,12375.266024
2006,6,5140.955893
2006,7,3407.2047660000003
2006,8,3046.60992
2006,9,2834.180283
2006,10,838.611116
2006,11,2245.883081
2006,12,2288.92438
2007,1,1638.34622
2007,2,1853.354368
2007,3,2081.850112
2007,4,2540.230029
2007,5,2985.717391
2007,6,2987.10582
2007,7,2673.915907
2007,8,2684.4282980000003
2007,9,2524.9573100000002
2007,10,2204.626905
2007,11,1808.7262930000002
2007,12,1859.503125
2008,1,1800.9907600000001
2008,2,1826.5775230000002
2008,3,1931.3047390000002
2008,4,2619.7671760000003
2008,5,6674.574897
2008,6,7244.822522
2008,7,4343.600953
2008,8,3238.014775
2008,9,2761.783628
2008,10,2091.5691150000002
2008,11,1935.470026
2008,12,1787.1064700000002
2009,1,2021.949318
2009,2,1884.2965000000002
2009,3,2028.4947690000001
2009,4,2756.4282590000003
2009,5,11597.150743
2009,6,4994.972501
2009,7,3819.9648730000004
2009,8,3331.832906
2009,9,3017.8496050000003
2009,10,2530.90772
2009,11,2100.49473
2009,12,1894.412197
2010,1,2207.6021100000003
2010,2,1965.023729
2010,3,2142.3459470000003
2010,4,2534.676313
2010,5,2888.130667
2010,6,3255.6676580000003
2010,7,2929.386843
2010,8,2853.816636
2010,9,2582.6762870000002
2010,10,2299.436771
2010,11,2061.222024
2010,12,2159.99883
2011,1,2212.957479
2011,2,2689.386973
2011,3,6689.450922
2011,4,16657.18106
2011,5,22195.029300000002
2011,6,22702.79762
2011,7,19047.26241
2011,8,19816.84877
2011,9,17702.46975
2011,10,2080.66003
2011,11,1992.5939620000001
2011,12,2010.048498
2012,1,9985.581368000001
2012,2,2136.792231
2012,3,2245.089693
2012,4,3159.866057
2012,5,2904.196774
2012,6,2723.701004
2012,7,3003.3702740000003
2012,8,2728.858026
2012,9,2655.0729420000002
2012,10,18154.70091
2012,11,15903.46246
2012,12,17038.0073
2013,1,1779.1725900000001
2013,2,1971.965874
2013,3,1922.180777
2013,4,2473.982131
2013,5,2423.403646
2013,6,2185.9822870000003
2013,7,2550.345726
2013,8,2703.271263
2013,9,2518.4118590000003
2013,10,1971.965874
2013,11,1922.379124
2013,12,2001.717924
2014,1,1743.866824
2014,2,1631.999116
2014,3,1645.8834060000002
2014,4,2353.982196
2014,5,2836.758794
2014,6,2615.006848
2014,7,2951.4033600000002
2014,8,2837.5521820000004
2014,9,2367.271445
2014,10,1680.594131
2014,11,1544.9247830000002
2014,12,1767.668464
2015,1,1953.321256
2015,2,1655.205715
2015,3,1824.594053
2015,4,2327.602045
2015,5,2529.320944
2015,6,2535.469701
2015,7,2585.254798
2015,8,2336.726007
2015,9,2270.081415
2015,10,1878.941131
2015,11,1852.362633
2015,12,1877.949396
2016,1,1793.05688
2016,2,1664.726371
2016,3,1645.288365
2016,4,2388.4945740000003
2016,5,2974.4116120000003
2016,6,2628.692791
2016,7,2309.3541210000003
2016,8,2362.114423
2016,9,2417.0565420000003
2016,10,1831.139504
2016,11,1375.933139
2016,12,1580.8255900000001
2017,1,2113.9823260000003
2017,2,2025.519564
2017,3,2302.610323
2017,4,5620.162245
2017,5,12513.712230000001
2017,6,7366.60758
2017,7,4463.799235
2017,8,3277.684175
2017,9,3137.651193
2017,10,1988.6270220000001
2017,11,1808.5279460000002
2017,12,1805.751088
2018,1,1991.205533
2018,2,1824.990747
2018,3,2024.527829
2018,4,2594.577107
2018,5,2867.105885
2018,6,2521.188717
2018,7,2839.733999
2018,8,3017.0562170000003
2018,9,2649.122532
2018,10,2502.345752
2018,11,2201.255006
2018,12,2248.659939
2019,1,1675.238762
2019,2,1385.057101
2019,3,1983.271653
2019,4,4353.319956
2019,5,10944.78746
2019,6,13281.315120000001
2019,7,6666.244323
2019,8,5944.45959
2019,9,6523.6328300000005
2019,10,2362.114423
2019,11,1848.990734
2019,12,1642.908201
2020,1,2501.15567
2020,2,2217.51946
2020,3,2324.4284930000003
2020,4,3061.882639
2020,5,4038.741614
2020,6,3416.725422
2020,7,3143.403256
2020,8,2954.180218
2020,9,2719.33737
2020,10,4377.51829
2020,11,2504.9242630000003
2020,12,2361.916076
2021,1,1731.370963
2021,2,1692.098257
2021,3,1886.27997
2021,4,2428.362321
2021,5,2749.6844610000003
2021,6,2592.39529
2021,7,2838.742264
2021,8,2619.5688290000003
2021,9,2545.387051
2021,10,1847.6023050000001
2021,11,1555.0404800000001
2021,12,1529.057023
2022,1,1745.651947
2022,2,1574.2801390000002
2022,3,1725.8172470000002
2022,4,2334.54419
2022,5,2952.395095
2022,6,2930.7752720000003
2022,7,2591.601902
2022,8,2591.8002490000003
2022,9,2237.155813
2022,10,1927.3377990000001
2022,11,1712.527998
2022,12,1766.875076
2023,1,1712.131304
2023,2,1635.966056
2023,3,1799.602331
2023,4,2612.0316430000003
2023,5,16181.544954
2023,6,10980.48992
2023,7,5143.534404
2023,8,4063.534989
2023,9,3131.304089
2023,10,1793.4535740000001
2023,11,1669.685046
2023,12,1708.164364
2024,1,1919.9989600000001
2024,2,1843.635365
2024,3,2054.676573
2024,4,3477.617951
2024,5,9264.78837
2024,6,11729.646539000001
2024,7,4297.187755
2024,8,3881.055749
2024,9,2984.924003
2024,10,2443.436693
2024,11,2076.69309
2024,12,1920.3956540000001
2025,1,1964.428688
2025,2,1979.899754
2025,3,2182.610388
2025,4,2814.5439300000003
2025,5,4048.460617
2025,6,3357.816363
2025,7,2726.279515
2025,8,2442.444958
2025,9,2299.436771
2025,10,2300.626853
2025,11,2089.783992
2025,12,2029.883198
