wy,peak_swe_m
1980,0.7162799999999999
1981,0.37592
1982,0.7111999999999999
1983,0.66802
1984,0.81534
1985,0.51562
1986,0.66548
1987,0.29972
1988,0.3937
1989,0.47752
1990,0.38354
1991,0.40386
1992,0.24637999999999996
1993,0.57404
1994,0.27686
1995,0.43179999999999996
1996,0.5689599999999999
1997,0.7746999999999999
1998,0.5257799999999999
1999,0.37338
2000,0.43688
2001,0.30226
2002,0.37592
2003,0.28956
2004,0.43434
2005,0.5638799999999999
2006,0.61976
2007,0.30226
2008,0.55372
2009,0.4191
2010,0.32512
2011,0.65532
2012,0.21844
2013,0.30988
2014,0.38608
2015,0.2794
2016,0.31242000000000003
2017,0.6070599999999999
2018,0.21336
2019,0.61976
2020,0.41402
2021,0.254
2022,0.29209999999999997
2023,0.64008
2024,0.5588
2025,0.37846
